,well,fov,centroid-0,centroid-1
2721,r05c18,3,70.49556650246305,828.3221674876847
2722,r05c18,3,90.54027504911592,216.79174852652253
2723,r05c18,3,124.02619207521826,896.6796507723304
2724,r05c18,3,144.9796107506951,112.77664504170528
2725,r05c18,3,147.56928034371643,190.4822771213749
2726,r05c18,3,168.72100313479623,831.7648902821317
2727,r05c18,3,174.87431693989072,232.3811475409836
2728,r05c18,3,182.80463871543265,927.778768956289
2729,r05c18,3,188.2669421487604,382.0859504132232
2730,r05c18,3,186.13473053892216,66.36826347305389
2731,r05c18,3,191.0692771084337,280.5090361445783
2732,r05c18,3,206.13953488372093,170.48062015503876
2733,r05c18,3,226.00749464668093,767.9646680942184
2734,r05c18,3,236.60917030567688,307.5174672489083
2735,r05c18,3,254.85803921568623,917.6345098039216
2736,r05c18,3,273.0488301119024,246.8087487283825
2737,r05c18,3,278.65520282186947,173.31569664902997
2738,r05c18,3,287.80306905370844,474.3435635123615
2739,r05c18,3,290.2730061349693,735.097137014315
2740,r05c18,3,288.5954861111111,839.2239583333334
2741,r05c18,3,326.9894736842105,611.909649122807
2742,r05c18,3,337.55978674790555,141.65498857578066
2743,r05c18,3,338.8755144032922,387.3816872427984
2744,r05c18,3,340.0029041626331,741.2003872216844
2745,r05c18,3,347.5755813953488,976.8779069767442
2746,r05c18,3,356.33127753303967,469.5541850220265
2747,r05c18,3,359.995881383855,87.91103789126853
2748,r05c18,3,364.4505606523955,903.658511722732
2749,r05c18,3,373.64674397859056,539.2149866190902
2750,r05c18,3,387.371609403255,173.03616636528028
2751,r05c18,3,384.5667396061269,1013.977024070022
2752,r05c18,3,400.69401544401546,309.4218146718147
2753,r05c18,3,414.9032258064516,239.8245967741936
2754,r05c18,3,431.46563706563705,429.45714285714286
2755,r05c18,3,455.2772151898734,158.97088607594938
2756,r05c18,3,453.3083247687565,957.3412127440904
2757,r05c18,3,463.68536585365854,514.5804878048781
2758,r05c18,3,458.8168674698795,1055.879518072289
2759,r05c18,3,463.6338354577057,235.6720741599073
2760,r05c18,3,471.2840909090909,194.16477272727272
2761,r05c18,3,470.815415821501,859.7048681541582
2762,r05c18,3,481.2536312849162,264.1340782122905
2763,r05c18,3,490.63603925066906,567.3184656556646
2764,r05c18,3,510.79564806054873,208.1702932828761
2765,r05c18,3,528.2373862696444,444.1563275434243
2766,r05c18,3,528.9798850574713,856.9003831417624
2767,r05c18,3,562.7062084257207,922.0875831485588
2768,r05c18,3,580.2521489971347,70.21107927411653
2769,r05c18,3,613.491935483871,784.4045698924731
2770,r05c18,3,620.4703237410072,866.9397482014389
2771,r05c18,3,636.0963455149501,430.3405315614618
2772,r05c18,3,646.1789215686274,479.85130718954247
2773,r05c18,3,653.6261538461539,814.1353846153846
2774,r05c18,3,674.3769841269841,935.281746031746
2775,r05c18,3,676.8962336664105,860.4642582628748
2776,r05c18,3,708.5062866722549,297.53813914501256
2777,r05c18,3,716.5869565217391,367.0
2778,r05c18,3,707.4525139664804,226.1717877094972
2779,r05c18,3,709.4121212121212,190.3890909090909
2780,r05c18,3,752.4733683420856,429.7569392348087
2781,r05c18,3,752.2707722385142,800.4926686217009
2782,r05c18,3,760.4812398042415,230.2226753670473
2783,r05c18,3,772.0126582278481,307.43383199079403
2784,r05c18,3,817.760775862069,170.99461206896552
2785,r05c18,3,814.0618556701031,129.4971363115693
2786,r05c18,3,811.0985460420032,418.1437802907916
